3 288
29.1733 5.2797 -14.2843
33.2401 9.3464 -14.2843
31.9252 20.457 -4.2972
33.363 14.9017 -3.912
27.9971 24.5237 -5.3498
22.6311 26.0123 -6.7876
17.2651 24.5237 -8.2254
13.3369 20.457 -9.278
11.8991 14.9017 -9.6632
13.3369 9.3464 -9.278
17.2651 5.2797 -8.2254
22.6311 3.7912 -6.7876
27.9971 5.2797 -5.3498
31.9252 9.3464 -4.2973
28.0704 20.457 5.0092
29.3595 14.9017 5.7535
24.5485 24.5237 2.9759
19.7374 26.0123 0.1982
14.9264 24.5237 -2.5794
11.4045 20.457 -4.6128
10.1154 14.9017 -5.3571
11.4045 9.3464 -4.6128
14.9264 5.2797 -2.5794
19.7374 3.7912 0.1982
24.5485 5.2797 2.9759
28.0704 9.3464 5.0092
21.9382 20.457 13.0009
22.9907 14.9017 14.0534
19.0625 24.5237 10.1253
15.1344 26.0123 6.1971
11.2062 24.5237 2.2689
8.3306 20.457 -0.6067
7.278 14.9017 -1.6593
8.3306 9.3464 -0.6067
11.2062 5.2797 2.2689
15.1344 3.7912 6.1971
19.0625 5.2797 10.1253
21.9382 9.3464 13.0009
13.9465 20.457 19.1331
14.6908 14.9017 20.4222
11.9131 24.5237 15.6112
9.1355 26.0123 10.8002
6.3578 24.5237 5.9892
4.3245 20.457 2.4673
3.5802 14.9017 1.1782
4.3245 9.3464 2.4673
6.3578 5.2797 5.9892
9.1355 3.7912 10.8002
11.9131 5.2797 15.6112
13.9465 9.3464 19.1331
4.64 20.457 22.988
5.0253 14.9017 24.4258
3.5875 24.5237 19.0598
2.1497 26.0123 13.6938
0.7118 24.5237 8.3278
-0.3407 20.457 4.3996
-0.726 14.9017 2.9618
-0.3407 9.3464 4.3996
0.7118 5.2797 8.3278
2.1497 3.7912 13.6938
3.5875 5.2797 19.0598
4.64 9.3464 22.988
-5.3471 20.457 24.3028
-5.3471 14.9017 25.7913
-5.3471 24.5237 20.236
-5.3471 26.0123 14.6808
-5.3471 24.5237 9.1255
-5.3471 20.457 5.0587
-5.3471 14.9017 3.5702
-5.3471 9.3464 5.0587
-5.3471 5.2797 9.1255
-5.3471 3.7912 14.6808
-5.3471 5.2797 20.236
-5.3471 9.3464 24.3028
-15.3341 20.457 22.988
-15.7194 14.9017 24.4258
-14.2816 24.5237 19.0598
-12.8438 26.0123 13.6938
-11.406 24.5237 8.3278
-10.3534 20.457 4.3996
-9.9682 14.9017 2.9618
-10.3534 9.3464 4.3996
-11.406 5.2797 8.3278
-12.8438 3.7912 13.6938
-14.2816 5.2797 19.0598
-15.3341 9.3464 22.988
-24.6406 20.457 19.1331
-25.3849 14.9017 20.4222
-22.6072 24.5237 15.6112
-19.8296 26.0123 10.8002
-17.052 24.5237 5.9892
-15.0186 20.457 2.4673
-14.2743 14.9017 1.1782
-15.0186 9.3464 2.4673
-17.052 5.2797 5.9892
-19.8296 3.7912 10.8002
-22.6072 5.2797 15.6112
-24.6406 9.3464 19.1331
-32.6323 20.457 13.0009
-33.6848 14.9017 14.0534
-29.7566 24.5237 10.1253
-25.8285 26.0123 6.1971
-21.9003 24.5237 2.2689
-19.0247 20.457 -0.6067
-17.9721 14.9017 -1.6593
-19.0247 9.3464 -0.6067
-21.9003 5.2797 2.2689
-25.8285 3.7912 6.1971
-29.7566 5.2797 10.1253
-32.6323 9.3464 13.0009
-38.7645 20.457 5.0092
-40.0536 14.9017 5.7535
-35.2426 24.5237 2.9759
-30.4316 26.0123 0.1982
-25.6206 24.5237 -2.5794
-22.0986 20.457 -4.6128
-20.8095 14.9017 -5.3571
-22.0986 9.3464 -4.6128
-25.6206 5.2797 -2.5794
-30.4316 3.7912 0.1982
-35.2426 5.2797 2.9759
-38.7645 9.3464 5.0092
-42.6194 20.457 -4.2972
-44.0572 14.9017 -3.912
-38.6912 24.5237 -5.3498
-33.3252 26.0123 -6.7876
-27.9592 24.5237 -8.2254
-24.031 20.457 -9.278
-22.5932 14.9017 -9.6632
-24.031 9.3464 -9.278
-27.9592 5.2797 -8.2254
-33.3252 3.7912 -6.7876
-38.6912 5.2797 -5.3498
-42.6194 9.3464 -4.2972
-43.9342 20.457 -14.2843
-45.4227 14.9017 -14.2843
-39.8674 24.5237 -14.2843
-34.3122 26.0123 -14.2843
-28.7569 24.5237 -14.2843
-24.6901 20.457 -14.2843
-23.2016 14.9017 -14.2843
-24.6901 9.3464 -14.2843
-28.7569 5.2797 -14.2843
-34.3122 3.7912 -14.2843
-39.8674 5.2797 -14.2843
-43.9342 9.3464 -14.2843
-42.6194 20.457 -24.2714
-44.0572 14.9017 -24.6567
-38.6912 24.5237 -23.2188
-33.3252 26.0123 -21.781
-27.9592 24.5237 -20.3432
-24.031 20.457 -19.2907
-22.5932 14.9017 -18.9054
-24.031 9.3464 -19.2907
-27.9592 5.2797 -20.3432
-33.3252 3.7912 -21.781
-38.6912 5.2797 -23.2188
-42.6194 9.3464 -24.2714
-38.7645 20.457 -33.5779
-40.0536 14.9017 -34.3221
-35.2426 24.5237 -31.5445
-30.4316 26.0123 -28.7669
-25.6206 24.5237 -25.9892
-22.0987 20.457 -23.9559
-20.8095 14.9017 -23.2116
-22.0987 9.3464 -23.9559
-25.6206 5.2797 -25.9892
-30.4316 3.7912 -28.7669
-35.2426 5.2797 -31.5445
-38.7645 9.3464 -33.5779
-32.6323 20.457 -41.5695
-33.6848 14.9017 -42.6221
-29.7567 24.5237 -38.6939
-25.8285 26.0123 -34.7657
-21.9003 24.5237 -30.8376
-19.0247 20.457 -27.9619
-17.9721 14.9017 -26.9094
-19.0247 9.3464 -27.9619
-21.9003 5.2797 -30.8376
-25.8285 3.7912 -34.7657
-29.7567 5.2797 -38.6939
-32.6323 9.3464 -41.5695
-24.6406 20.457 -47.7018
-25.3849 14.9017 -48.9909
-22.6073 24.5237 -44.1798
-19.8296 26.0123 -39.3688
-17.052 24.5237 -34.5578
-15.0186 20.457 -31.0359
-14.2743 14.9017 -29.7468
-15.0186 9.3464 -31.0359
-17.052 5.2797 -34.5578
-19.8296 3.7912 -39.3688
-22.6073 5.2797 -44.1798
-24.6406 9.3464 -47.7018
-15.3342 20.457 -51.5566
-15.7194 14.9017 -52.9944
-14.2816 24.5237 -47.6285
-12.8438 26.0123 -42.2625
-11.406 24.5237 -36.8965
-10.3534 20.457 -32.9683
-9.9682 14.9017 -31.5305
-10.3534 9.3464 -32.9683
-11.406 5.2797 -36.8965
-12.8438 3.7912 -42.2625
-14.2816 5.2797 -47.6284
-15.3342 9.3464 -51.5566
