3 404
-91.440002 -58.928062 81.788025
-8.128 -70.611938 1541.780029
-30.987999 -57.403942 1477.771973
14.223999 -57.403942 1477.771973
-8.128 -97.027939 1477.771973
-13.716 18.288073 1610.86792
12.7 -23.875933 1606.296021
37.084 18.288073 1606.296021
-35.051998 -23.875933 1605.787964
-59.436001 18.288073 1605.787964
-35.051998 59.944069 1605.787964
12.7 59.944069 1606.296021
30.48 -54.86393 1570.228027
72.136002 18.288069 1570.228027
-52.832001 -54.86393 1569.719971
-92.963997 18.288069 1569.719971
-52.832001 90.932076 1569.719971
30.48 90.932076 1570.228027
37.084 -66.547935 1520.952026
84.835999 18.288065 1520.952026
-58.927998 -66.547935 1520.44397
-105.664001 18.288065 1520.44397
-59.436001 102.616058 1520.44397
36.576 102.616058 1520.952026
30.987999 -54.863941 1472.18396
72.643997 18.288061 1472.18396
-52.323997 -54.863941 1471.676025
-92.456001 18.288061 1471.676025
-52.323997 90.932068 1471.676025
30.987999 90.932068 1472.18396
13.208 -23.875948 1436.115967
37.591999 18.288057 1436.115967
-34.543999 -23.875948 1435.608032
-58.927998 18.288057 1435.608032
-34.543999 59.944054 1435.608032
13.208 59.944054 1436.115967
-10.668 18.288055 1422.907959
218.440002 -25.908009 740.156006
240.283997 -24.892012 715.771973
248.919998 -12.700007 724.916016
228.091995 -12.700006 750.315979
240.283997 -0.508007 715.771973
218.440002 0.507994 740.156006
231.647995 -12.700009 707.135986
208.787994 -12.700007 730.503967
240.283997 -25.90801 715.771973
248.412003 -23.876013 695.451965
256.031982 -13.716009 695.959961
248.919998 -14.224006 725.424011
248.412003 -4.064009 695.451965
240.283997 -2.032009 715.771973
238.759995 -14.224009 691.388
228.599991 -14.224015 711.200012
245.871994 -29.464012 695.451965
245.871994 -22.860016 672.083984
249.427994 -19.304012 672.083984
256.031982 -19.30401 695.451965
245.871994 -16.256012 672.083984
245.871994 -9.65201 695.451965
242.82399 -19.304012 672.083984
236.220001 -19.30401 695.451965
233.171997 -11.684009 680.211975
235.203995 -9.652021 655.828003
243.839996 -1.016012 656.335999
244.347992 -1.01601 681.227966
235.203995 7.619986 655.828003
233.171997 10.159989 680.211975
226.059998 -1.016012 654.812012
221.996002 -1.01601 679.703979
235.203995 -10.66802 655.828003
228.091995 -9.144015 636.523987
238.251999 -2.032016 636.015991
242.82399 -2.032015 656.335999
228.091995 6.095986 636.015991
235.203995 7.111987 655.828003
223.519989 -2.032016 636.523987
226.567993 -2.032014 658.367981
230.632004 -14.732021 636.015991
230.632004 -10.160025 612.64801
234.188004 -6.604017 612.64801
238.251999 -6.604015 636.015991
230.632004 -3.556017 612.64801
230.632004 1.015984 636.015991
227.584 -6.604017 612.64801
223.011993 -6.604015 636.015991
214.884003 -8.636013 675.132019
219.455994 -7.620013 648.716003
223.519989 2.539987 648.208008
225.552002 2.03199 677.164001
219.455994 12.191988 648.716003
214.884003 13.207989 675.132019
208.279999 2.031988 649.731995
207.772003 2.539989 673.099976
216.40799 -11.684011 648.716003
213.867996 -9.652016 627.380005
221.487991 -2.032017 626.872009
226.059998 -2.032015 647.192017
213.867996 5.587978 627.380005
216.40799 7.619985 648.716003
208.279999 -2.032017 628.395996
207.772003 -2.032015 650.23999
216.40799 -12.192017 627.380005
216.40799 -8.128016 604.011963
219.455994 -5.080019 604.011963
224.028 -5.080025 627.380005
216.40799 -1.524016 604.011963
216.40799 3.047985 627.380005
212.85199 -5.080019 604.011963
208.279999 -5.080025 627.380005
198.119995 -8.128009 683.26001
197.612 -5.588014 656.335999
206.248001 3.047987 655.828003
209.29599 3.04799 682.752014
197.612 11.683985 656.335999
198.119995 13.715993 683.26001
188.468002 3.047987 656.843994
187.451996 3.04799 684.276001
198.119995 -7.112012 656.335999
194.056 -5.588016 635
205.73999 1.523983 635
207.263992 1.523985 654.304016
194.056 9.651978 635
198.119995 10.159979 656.335999
189.992004 2.031987 635
189.483994 1.523985 657.859985
198.119995 -9.652023 635
198.119995 -5.080027 611.632019
201.167999 -2.032018 611.632019
205.73999 -2.032016 635
198.119995 1.015982 611.632019
198.119995 5.587986 635
194.563995 -2.032018 611.632019
190.5 -2.032016 635
182.880005 -11.176017 690.372009
179.32399 -9.652012 671.067993
187.451996 -2.032013 669.544006
191.515991 -2.032012 688.339966
179.32399 5.587982 671.067993
182.880005 6.60399 690.372009
171.703995 -2.032013 672.59198
174.244003 -2.032012 691.895996
179.832001 -9.144012 671.067993
181.356003 -8.636015 651.763977
187.959991 -2.032015 652.779968
186.436005 -1.52401 673.099976
181.356003 4.571985 651.763977
179.832001 6.095981 671.067993
175.259995 -2.032015 651.255981
171.703995 -1.52401 672.59198
181.356003 -8.128012 651.763977
181.356003 -4.572014 628.395996
184.912003 -1.524014 628.395996
187.959991 -1.524012 651.763977
181.356003 2.031986 628.395996
181.356003 5.079988 651.763977
178.307999 -1.524014 628.395996
174.751999 -1.524012 651.763977
-221.487991 -35.560001 742.187988
-249.427994 -35.560013 714.247986
-237.235992 -20.828007 712.723999
-214.375992 -21.336004 730.503967
-249.935989 -12.700008 714.755981
-221.487991 -13.208006 741.679993
-261.619995 -20.320007 715.771973
-228.599991 -22.352007 754.888
-249.427994 -35.052013 715.263977
-250.951996 -33.02002 692.403992
-241.300003 -23.368013 691.388
-237.235992 -23.368011 713.73999
-250.951996 -13.20801 692.403992
-249.427994 -11.176006 715.263977
-261.112 -23.368013 693.419983
-261.112 -23.368011 716.279968
-250.951996 -34.544018 692.403992
-250.951996 -27.940014 669.036011
-247.395996 -24.384014 669.036011
-240.791992 -24.384012 692.403992
-250.951996 -21.33601 669.036011
-250.951996 -14.732008 692.403992
-254 -24.384014 669.036011
-260.604004 -24.384012 692.403992
-233.171997 -14.732018 678.687988
-235.203995 -12.700014 653.287964
-225.043991 -3.556013 653.796021
-226.059998 -3.556011 678.179993
-235.203995 5.079988 653.287964
-233.171997 7.111989 678.687988
-243.839996 -3.556013 654.304016
-244.347992 -3.556011 679.703979
-233.679993 -14.224012 653.287964
-231.139999 -13.208023 636.015991
-223.519989 -5.588016 637.539978
-225.043991 -5.588022 654.812012
-231.139999 2.539986 636.015991
-233.679993 3.047987 653.287964
-239.26799 -5.588016 635.507996
-243.332001 -5.588015 653.796021
-231.647995 -13.716022 636.015991
-231.647995 -9.652025 612.64801
-228.091995 -6.096017 612.64801
-223.519989 -6.096015 636.015991
-231.647995 -3.048017 612.64801
-231.647995 1.523983 636.015991
-234.695999 -6.096017 612.64801
-239.26799 -6.096015 636.015991
-214.884003 -16.764019 678.687988
-213.360001 -16.256014 650.747986
-207.263992 -5.080015 651.763977
-206.755997 -6.096012 678.179993
-213.360001 4.063986 650.747986
-216.40799 5.58799 678.687988
-223.011993 -6.096014 648.716003
-225.552002 -6.096012 678.179993
-213.360001 -11.176012 650.23999
-210.819992 -9.144016 626.364014
-206.248001 -1.016015 625.856018
-203.707993 -1.016012 651.763977
-210.819992 6.095985 626.364014
-213.360001 8.635988 650.23999
-220.472 -1.016015 625.856018
-223.519989 -1.016013 648.716003
-212.85199 -11.684013 626.364014
-212.85199 -7.112017 602.995972
-209.804001 -4.064017 602.995972
-205.73999 -4.064015 626.364014
-212.85199 -0.508017 602.995972
-212.85199 3.555984 626.364014
-216.40799 -4.064017 602.995972
-220.979996 -4.064015 626.364014
-198.119995 -16.25602 678.179993
-195.580002 -14.224012 652.271973
-188.975998 -5.080015 651.763977
-190.5 -5.080013 680.211975
-195.580002 3.047987 652.271973
-198.119995 5.58799 678.179993
-204.216003 -5.588015 651.255981
-206.755997 -5.080013 678.179993
-195.580002 -13.208014 652.271973
-197.104004 -12.192017 632.459961
-188.975998 -4.572014 631.951965
-186.944 -4.572012 651.763977
-197.104004 3.047985 632.459961
-195.580002 4.063986 652.271973
-204.723999 -4.572021 632.968018
-204.723999 -4.572012 652.779968
-196.595993 -11.684013 632.459961
-196.595993 -7.112017 609.09198
-193.548004 -4.064016 609.09198
-188.975998 -4.064014 632.459961
-196.595993 -0.508017 609.09198
-196.595993 3.555985 632.459961
-200.151993 -4.064016 609.09198
-204.723999 -4.064014 632.459961
-183.388 -14.732009 685.799988
-185.419998 -13.71602 669.036011
-175.259995 -6.096013 670.052002
-174.751999 -6.096011 685.291992
-185.419998 1.523986 669.036011
-183.388 2.53999 685.799988
-188.468002 -6.096013 668.528015
-192.531998 -6.096011 686.815979
-183.895996 -12.192021 669.036011
-179.832001 -11.176012 651.763977
-174.751999 -4.572012 650.747986
-175.259995 -4.064019 671.067993
-179.832001 2.031988 651.763977
-183.895996 3.047988 669.036011
-186.436005 -4.57202 649.731995
-188.975998 -4.064011 668.528015
-181.356003 -13.716013 651.763977
-181.356003 -10.160015 628.395996
-177.800003 -7.112015 628.395996
-174.751999 -7.112013 651.763977
-181.356003 -3.556015 628.395996
-181.356003 -0.508013 651.763977
-184.403992 -7.112015 628.395996
-187.959991 -7.112013 651.763977
